id,complaint,category
1386,Can you help? item does not work as described This needs to be fixed.,Product Issue
1387,I would like to report that getting an error message I need assistance with this.,Technical Issue
1388,I need assistance because need to cancel before shipping Can you check this for me?,Cancellation
1389,refund is missing from bank account Please look into it.,Refund
1390,I am facing this problem: need information about my order Can you investigate this?,General Inquiry
1391,Could you resolve this: received the wrong package This needs to be fixed.,Delivery
1392,Customer support needed: refund was processed for wrong amount Please resolve this.,Refund
1393,Can you help? service stopped working after an update Can you investigate this?,Technical Issue
1394,"Please help, cancellation option is not working Please provide a solution.",Cancellation
1395,I need assistance because package says delivered but was not received I need assistance with this.,Delivery
1396,My issue is that tracking has not updated Please provide a solution.,Delivery
1397,refund is missing from bank account I would appreciate your help.,Refund
1398,"Please help, unclear charge on invoice Can you check this for me?",Billing & Payment
1399,Customer support needed: screen is displaying incorrectly I would appreciate your help.,Technical Issue
1400,Customer support needed: payment failed despite sufficient balance Can you investigate this?,Billing & Payment
1401,want to know support hours Can you check this for me?,General Inquiry
1402,I am facing this problem: have a question about features Please look into it.,General Inquiry
1403,Can you help? item arrived with missing parts I would appreciate your help.,Product Issue
1404,Could you resolve this: unexpected fee on bill Kindly help me resolve the issue.,Billing & Payment
1405,item arrived with missing parts I would appreciate your help.,Product Issue
1406,I want to report that forgot password and cannot reset it Please resolve this.,Account & Login
1407,Can you help? verification code is not working Can you check this for me?,Account & Login
1408,I want to report that delivery is later than promised Please resolve this.,Delivery
1409,I want to report that charged twice for the same payment This needs to be fixed.,Billing & Payment
1410,requested refund but have not received it.,Refund
1411,Can you help? password reset email is not arriving I need assistance with this.,Account & Login
1412,I would like to report that want to cancel subscription Please resolve this.,Cancellation
1413,"Please help, wrong amount charged.",Billing & Payment
1414,I would like to report that refund is missing from bank account Please look into it.,Refund
1415,I am facing this problem: want to check refund status.,Refund
1416,received the wrong package This needs to be fixed.,Delivery
1417,Customer support needed: unable to verify account I need assistance with this.,Account & Login
1418,I would like to report that how does the service work Please provide a solution.,General Inquiry
1419,I am facing this problem: want to find terms and conditions Can you investigate this?,General Inquiry
1420,"Please help, need general information before ordering I would appreciate your help.",General Inquiry
1421,Customer support needed: want to know available plans Please resolve this.,General Inquiry
1422,Could you resolve this: want to stop recurring subscription.,Cancellation
1423,"Please help, cannot log in Kindly help me resolve the issue.",Account & Login
1424,accidentally placed order and want to cancel Please look into it.,Cancellation
1425,My issue is that order has not been delivered Kindly help me resolve the issue.,Delivery
1426,I want to report that refund is still pending This needs to be fixed.,Refund
1427,Customer support needed: delivery marked unsuccessful while I was available I need assistance with this.,Delivery
1428,Customer support needed: refund is still pending Please resolve this.,Refund
1429,I want to report that product quality is poor This needs to be fixed.,Product Issue
1430,I would like to report that wrong amount charged.,Billing & Payment
1431,I want to report that application is extremely slow Please resolve this.,Technical Issue
1432,Can you help? received the wrong package Please resolve this.,Delivery
1433,a feature is not working I would appreciate your help.,Technical Issue
1434,"Please help, cannot log in.",Account & Login
1435,Could you resolve this: need general information before ordering I would appreciate your help.,General Inquiry
1436,I want to report that want to know support hours Please provide a solution.,General Inquiry
1437,I need assistance because want to stop recurring subscription Kindly help me resolve the issue.,Cancellation
1438,Can you help? want an explanation of service options Kindly help me resolve the issue.,General Inquiry
1439,I want to report that refund is missing from bank account I would appreciate your help.,Refund
1440,I would like to report that need help cancelling service I would appreciate your help.,Cancellation
1441,I am facing this problem: delivery is later than promised This needs to be fixed.,Delivery
1442,Can you help? how does the service work Please provide a solution.,General Inquiry
1443,Can you help? charged twice for the same payment Please resolve this.,Billing & Payment
1444,Can you help? refund was processed for wrong amount This needs to be fixed.,Refund
1445,I am facing this problem: product stopped working quickly Kindly help me resolve the issue.,Product Issue
1446,Can you help? refund is missing from bank account Please look into it.,Refund
1447,Could you resolve this: cannot upload a file Please provide a solution.,Technical Issue
1448,want to cancel subscription Please resolve this.,Cancellation
1449,"Please help, login credentials are rejected Please look into it.",Account & Login
1450,Could you resolve this: login credentials are rejected Please look into it.,Account & Login
1451,charged a different amount This needs to be fixed.,Billing & Payment
1452,"Please help, want to cancel subscription Please resolve this.",Cancellation
1453,I am facing this problem: need general information before ordering Please look into it.,General Inquiry
1454,Can you help? need help cancelling service I would appreciate your help.,Cancellation
1455,My issue is that received the wrong package Please resolve this.,Delivery
1456,Customer support needed: accidentally placed order and want to cancel Please look into it.,Cancellation
1457,Can you help? package is stuck with courier Kindly help me resolve the issue.,Delivery
1458,I am facing this problem: delivery is later than promised Please resolve this.,Delivery
1459,I would like to report that payment deducted but still pending I would appreciate your help.,Billing & Payment
1460,I would like to report that incorrect billing information Please look into it.,Billing & Payment
1461,requested refund but have not received it Kindly help me resolve the issue.,Refund
1462,Can you help? refunded amount is incorrect Can you check this for me?,Refund
1463,Can you help? delivery address was not followed Please look into it.,Delivery
1464,Customer support needed: have a question about features I would appreciate your help.,General Inquiry
1465,"Please help, verification code is not working Can you check this for me?",Account & Login
1466,My issue is that application keeps crashing Kindly help me resolve the issue.,Technical Issue
1467,Customer support needed: need help with pending refund I would appreciate your help.,Refund
1468,My issue is that getting an error message Can you investigate this?,Technical Issue
1469,My issue is that need help with pending refund I would appreciate your help.,Refund
1470,Could you resolve this: product quality is poor This needs to be fixed.,Product Issue
1471,Can you help? want to check refund status.,Refund
1472,Customer support needed: want to find terms and conditions Can you investigate this?,General Inquiry
1473,Customer support needed: product stopped working quickly.,Product Issue
1474,I need assistance because need general information before ordering I would appreciate your help.,General Inquiry
1475,I need assistance because specifications do not match listing Can you check this for me?,Product Issue
1476,I need assistance because delivery address was not followed I would appreciate your help.,Delivery
1477,I want to report that application is extremely slow This needs to be fixed.,Technical Issue
1478,I would like to report that want to stop recurring subscription Kindly help me resolve the issue.,Cancellation
1479,application keeps crashing Kindly help me resolve the issue.,Technical Issue
1480,I need assistance because refund is still pending Please resolve this.,Refund
1481,I need assistance because cancellation option is not working Can you check this for me?,Cancellation
1482,Customer support needed: item does not work as described This needs to be fixed.,Product Issue
1483,I am facing this problem: account is locked Can you check this for me?,Account & Login
1484,need information about my order Can you investigate this?,General Inquiry
1485,"Please help, received only part of the refund I need assistance with this.",Refund
1486,I need assistance because item does not work as described This needs to be fixed.,Product Issue
1487,Customer support needed: charged a different amount This needs to be fixed.,Billing & Payment
1488,Could you resolve this: specifications do not match listing Can you check this for me?,Product Issue
1489,"Please help, website is not loading properly Please resolve this.",Technical Issue
1490,I would like to report that account is locked Can you check this for me?,Account & Login
1491,Can you help? need general information before ordering Please look into it.,General Inquiry
1492,I want to report that received a different product I need assistance with this.,Product Issue
1493,I am facing this problem: unexpected fee on bill Kindly help me resolve the issue.,Billing & Payment
1494,I am facing this problem: password reset email is not arriving I need assistance with this.,Account & Login
1495,I need assistance because need information about services.,General Inquiry
1496,I want to report that product has a defect Can you check this for me?,Product Issue
1497,cancelled order money was not returned Can you check this for me?,Refund
1498,I want to report that need information about services.,General Inquiry
1499,want to stop recurring subscription Kindly help me resolve the issue.,Cancellation
1500,I need assistance because specifications do not match listing Please provide a solution.,Product Issue
1501,My issue is that unable to verify account Can you investigate this?,Account & Login
1502,I would like to report that cannot upload a file Can you check this for me?,Technical Issue
1503,I am facing this problem: received the wrong package This needs to be fixed.,Delivery
1504,I am facing this problem: need general information before ordering I would appreciate your help.,General Inquiry
1505,Can you help? have a question about features I would appreciate your help.,General Inquiry
1506,Can you help? refund is missing from bank account I would appreciate your help.,Refund
1507,courier has not contacted me Please provide a solution.,Delivery
1508,want to stop recurring subscription.,Cancellation
1509,My issue is that need to cancel before shipping Can you check this for me?,Cancellation
1510,I would like to report that unclear charge on invoice Can you check this for me?,Billing & Payment
1511,My issue is that want to cancel booking Please resolve this.,Cancellation
1512,I want to report that need help cancelling service I would appreciate your help.,Cancellation
1513,My issue is that want to know available plans This needs to be fixed.,General Inquiry
1514,I would like to report that specifications do not match listing Can you check this for me?,Product Issue
1515,I need assistance because requested cancellation but order is still active Can you investigate this?,Cancellation
1516,I want to report that item does not work as described Please resolve this.,Product Issue
1517,My issue is that want to change registered email Please resolve this.,Account & Login
1518,Could you resolve this: verification code is not working Please provide a solution.,Account & Login
1519,Can you help? received the wrong package This needs to be fixed.,Delivery
1520,My issue is that verification code is not working Can you check this for me?,Account & Login
1521,"Please help, want to stop recurring subscription.",Cancellation
1522,Could you resolve this: application is extremely slow Please resolve this.,Technical Issue
1523,Could you resolve this: want to know support hours Please provide a solution.,General Inquiry
1524,I need assistance because want to know support hours Please provide a solution.,General Inquiry
1525,I would like to report that order has not been delivered.,Delivery
1526,I want to report that want to find terms and conditions Can you investigate this?,General Inquiry
1527,Can you help? payment failed despite sufficient balance I need assistance with this.,Billing & Payment
1528,I need assistance because product has visible damage I would appreciate your help.,Product Issue
1529,I would like to report that received a different product I need assistance with this.,Product Issue
1530,I am facing this problem: cancellation option is not working Please provide a solution.,Cancellation
1531,Can you help? payment deducted but still pending I would appreciate your help.,Billing & Payment
1532,I need assistance because unclear charge on invoice Can you check this for me?,Billing & Payment
1533,I need assistance because how does the service work Can you check this for me?,General Inquiry
1534,Can you help? want to know when package will arrive I would appreciate your help.,Delivery
1535,I need assistance because need help with pending refund Please look into it.,Refund
1536,verification code is not working Can you check this for me?,Account & Login
1537,I would like to report that how can I cancel my purchase I need assistance with this.,Cancellation
1538,My issue is that accidentally placed order and want to cancel Please look into it.,Cancellation
1539,cannot log in.,Account & Login
1540,refund was processed for wrong amount This needs to be fixed.,Refund
1541,"Please help, payment failed despite sufficient balance I need assistance with this.",Billing & Payment
1542,Customer support needed: unable to verify account Can you investigate this?,Account & Login
1543,Customer support needed: tracking has not updated Please provide a solution.,Delivery
1544,Could you resolve this: refund is missing from bank account I would appreciate your help.,Refund
1545,cannot upload a file Can you check this for me?,Technical Issue
1546,I am facing this problem: have a question about features I would appreciate your help.,General Inquiry
1547,Could you resolve this: payment deducted but still pending Please look into it.,Billing & Payment
1548,"Please help, specifications do not match listing Can you check this for me?",Product Issue
1549,I would like to report that want to cancel subscription This needs to be fixed.,Cancellation
1550,I am facing this problem: account details will not update.,Account & Login
1551,Customer support needed: want to change registered email This needs to be fixed.,Account & Login
1552,Could you resolve this: incorrect billing information I would appreciate your help.,Billing & Payment
1553,Could you resolve this: unable to verify account Can you investigate this?,Account & Login
1554,I want to report that incorrect billing information Please look into it.,Billing & Payment
1555,need general information before ordering I would appreciate your help.,General Inquiry
1556,I want to report that cannot access account from a new device Please look into it.,Account & Login
1557,product has a defect Can you check this for me?,Product Issue
1558,Could you resolve this: package is stuck with courier Kindly help me resolve the issue.,Delivery
1559,Customer support needed: want to find terms and conditions I need assistance with this.,General Inquiry
1560,I would like to report that cannot access account from a new device I would appreciate your help.,Account & Login
1561,Customer support needed: getting an error message I need assistance with this.,Technical Issue
1562,I want to report that want to know available plans Please resolve this.,General Inquiry
1563,I would like to report that received the wrong package Please resolve this.,Delivery
1564,I am facing this problem: want to know support hours Please provide a solution.,General Inquiry
1565,Can you help? wrong amount charged Kindly help me resolve the issue.,Billing & Payment
1566,I want to report that item arrived broken I need assistance with this.,Product Issue
1567,I would like to report that want to cancel order.,Cancellation
1568,I want to report that page keeps refreshing Kindly help me resolve the issue.,Technical Issue
1569,"Please help, product has a defect Please provide a solution.",Product Issue
1570,I want to report that app freezes during checkout Please provide a solution.,Technical Issue
1571,My issue is that need general information before ordering Please look into it.,General Inquiry
1572,I would like to report that want to know available plans This needs to be fixed.,General Inquiry
1573,want to cancel booking This needs to be fixed.,Cancellation
1574,I would like to report that need information about my order I need assistance with this.,General Inquiry
1575,My issue is that product arrived damaged.,Product Issue
1576,I want to report that cancelled order money was not returned Can you check this for me?,Refund
1577,I am facing this problem: incorrect invoice charge Please provide a solution.,Billing & Payment
1578,I need assistance because want to cancel subscription This needs to be fixed.,Cancellation
1579,I am facing this problem: refund is still pending This needs to be fixed.,Refund
1580,I would like to report that received a different product Can you investigate this?,Product Issue
1581,My issue is that product has a defect Can you check this for me?,Product Issue
1582,"Please help, incorrect billing information I would appreciate your help.",Billing & Payment
1583,"Please help, payment will not go through I need assistance with this.",Billing & Payment
1584,Customer support needed: payment will not go through I need assistance with this.,Billing & Payment
1585,I am facing this problem: getting an error message I need assistance with this.,Technical Issue
1586,I want to report that want to cancel order.,Cancellation
1587,Could you resolve this: payment failed despite sufficient balance Can you investigate this?,Billing & Payment
1588,I would like to report that want to check refund status Kindly help me resolve the issue.,Refund
1589,I would like to report that want an explanation of service options Kindly help me resolve the issue.,General Inquiry
1590,Customer support needed: need help cancelling service Please look into it.,Cancellation
1591,I want to report that order has not been delivered.,Delivery
1592,Could you resolve this: want an explanation of service options.,General Inquiry
1593,Customer support needed: delivery address was not followed Please look into it.,Delivery
1594,My issue is that product has a defect Please provide a solution.,Product Issue
1595,"Please help, product stopped working quickly.",Product Issue
1596,Can you help? item arrived broken I need assistance with this.,Product Issue
1597,Could you resolve this: want an explanation of service options Kindly help me resolve the issue.,General Inquiry
1598,"Please help, incorrect invoice charge Please provide a solution.",Billing & Payment
1599,Could you resolve this: delivery is later than promised Please resolve this.,Delivery
1600,I want to report that want to stop recurring subscription.,Cancellation
